;2025,P1,paper1.pdf,marking1.pdf;2025,P2,paper2.pdf,marking2.pdf;2024,P1,paper1.pdf,marking1.pdf;2024,P2,paper2.pdf,marking2.pdf;2023,P1,paper1.pdf,marking1.pdf;2023,P2,paper2.pdf,marking2.pdf;2022,P1,paper1.pdf,marking1.pdf;2022,P2,paper2.pdf,marking2.pdf;2021,P1,paper1.pdf,marking1.pdf;2021,P2,paper2.pdf,marking2.pdf;2019,P1,paper1.pdf,marking1.pdf;2019,P2,paper2.pdf,marking2.pdf;2018,P1,paper1.pdf,marking1.pdf;2018,P2,paper2.pdf,marking2.pdf;2017,P1,paper1.pdf,marking1.pdf;2017,P2,paper2.pdf,marking2.pdf;2016,P1,paper1.pdf,marking1.pdf;2016,P2,paper2.pdf,marking2.pdf;2015,P1,paper1.pdf,marking1.pdf;2015,P2,paper2.pdf,marking2.pdf
Differentiation;1,3,5/13,7,22;10,6,20;3,3,7/12,5,24;2,3,7/9,6,20;1,3,5/8,4,12;2,3,6/5,4,10/10,6,21/14,8,25;4,3,9;8,6,18;2,3,6;1,3,5/9,7,13;1,3,5/6,4,11;5,5,10/11,7,21;7,5,11/15,8,21;9,6,20;3,3,6/8,4,12/15c,7,26;4,4,9/7,5,18;2,3,5/9,5,12;7,6,17/10a,8,23;2,3,5/7,3,8;8,8,18
Integration;3,3,7;3,4,8;;7,6,16;6,4,10;8,5,15/12,7,23;;4,4,10/6,5,15;9,6,13;2,3,6/6,5,10;8,4,13;2,3,7/13,8,25;10,6,15;1,3,5;10,5,16/15b,7,26;;;3b,4,11/9,7,22;15,6,15;4,5,11
Further Calculus;12,6,21;7,5,16;;5,5,13;11,6,19;3,3,7;6,4,11/12,7,20;;7,5,11;3,3,7/10,7,14;11,5,18/17,7,25;;3,3,7/14,8,19;;13,6,22;11,7,27;5,4,7;10,8,23/11,8,24;12,5,13;7,8,17
Trigonometry;6,5,10;6,4,13/11,7,23;6,4,12/11,5,21;12,8,23;4,3,8;7,5,13/9,6,18;7,5,12/9,5,15;3,3,8;5,4,9;4,4,8/5,4,9/8,6,12;13,6,20/15,7,23;6,5,11;13,8,18;6,5,12/8,6,17;14,6,23;6,5,16/11a,7,27;13,6,20;8,7,20;4,3,7/10,4,10;9,9,20
Exponentials and Logs;4,3,8/8,5,15;13,7,26;9,5,17;6,5,14/11,7,22;3,3,7/7,4,11/9,5,14;13,7,24;2,3,6/8,5,14;7,5,16/10,8,23;16,9,20/17,10,21;16,11,20;14,6,21;9,6,17/12,8,23;6,4,10/11,7,16;11,6,23;12,6,21;9,6,21;14,7,21;6,5,16;6,3,8;
Functions and Sets;;4,4,9/12,7,24;5,4,10;8,6,19;13,6,22;6,5,11;3,3,7;5,4,13;3,3,7/6,4,10/11,7,15;;12,6,19;8,6,15;2,3,6;;1,3,5/6,4,9;;6,4,8/12,6,18;;5,3,7;2,3,7
Graphs;5,4,9/13,7,22;;;4,4,11/13,8,24;9,5,14;4,4,8;10,6,17/13,7,21;;17,10,21;7,6,11;10,5,17;5,5,10;15,8,21;;15a,7,26;;10,5,15;;13,5,13;
Quadratics;11,6,19;2,3,7;8,4,15;;5,4,9/12,6,21;;11,7,19;2,3,8;;15,10,19;2,3,6;;;4,3,9/10,6,22;4,3,7;;;2,3,8;8,4,9/11,4,11;
Polynomials;7,5,13;;10,5,18;13,8,24;10,5,16;;13,7,21;;1,3,5/10,6,14;;;7,5,13/10,6,19;;3,3,8;;2,3,6;15,7,22;3a,4,9;3,3,6;
Circles;9,6,17;14,8,27;7,4,13/13,6,25;10,7,21;;11,6,22/15,8,27;14,8,22;9,7,21;15,9,19;14,10,18/15,10,19;3,3,7/16,7,24;15,9,27;4,4,8;12,7,24;2,3,6;3,4,8/10,7,24;4,3,7/8,4,11;4,4,13;11,4,11/14,6,14;5,6,14
Straight Lines;2,3,6;1,3,5;1,3,5;1,3,5;2,3,6;1,3,5;1,3,5/5,4,10;1,3,5;4,3,8/8,5,12;;7,4,12;1,3,5;1,3,5/8,5,13;5,4,11;7,4,11/11,6,20;1,3,5;1,3,5;1,3,5;9,4,10;1,3,5
Vectors;10,6,18;5,4,11/8,5,17;4,3,8;3,4,9;;;;;12,8,16/14,8,18;11,8,15/13,9,17;5,3,9/9,5,15;3,4,8/14,8,26;5,4,9/9,6,14/12,7,17;2,3,7;5,3,8;5,5,12;7,4,10/11,5,16;5,5,14;1,3,5;6,7,16
Recurrence Relations;;9,5,18;2,3,6;;;;;;13,8,17;12,8,16;4,3,8;4,4,9;;7,5,15;9,4,13;8,6,19;3,3,6;;;3,4,8
!!c;;;;;;;;;;;;;;;;;;;;
qwk;;;;;;;;;;;;;;;;;;;;
